"","x1","x2","zi1","zi2","total_count"
"1",0.005,0.005,5,63,68
"2",0.005,0.015,4,78,82
"3",0.005,0.025,1,61,62
"4",0.005,0.035,0,60,60
"5",0.005,0.045,0,59,59
"6",0.005,0.055,0,61,61
"7",0.005,0.065,0,46,46
"8",0.005,0.075,0,46,46
"9",0.005,0.085,0,33,33
"10",0.005,0.095,0,44,44
"11",0.005,0.105,0,30,30
"12",0.005,0.115,0,33,33
"13",0.005,0.125,0,31,31
"14",0.005,0.135,0,46,46
"15",0.005,0.145,0,27,27
"16",0.005,0.155,0,29,29
"17",0.005,0.165,0,32,32
"18",0.005,0.175,0,16,16
"19",0.005,0.185,0,27,27
"20",0.005,0.195,0,23,23
"21",0.005,0.205,0,27,27
"22",0.005,0.215,0,17,17
"23",0.005,0.225,0,28,28
"24",0.005,0.235,0,18,18
"25",0.005,0.245,0,20,20
"26",0.005,0.255,0,13,13
"27",0.005,0.265,0,19,19
"28",0.005,0.275,0,14,14
"29",0.005,0.285,0,12,12
"30",0.005,0.295,0,13,13
"31",0.005,0.305,0,13,13
"32",0.005,0.315,0,15,15
"33",0.005,0.325,0,16,16
"34",0.005,0.335,0,10,10
"35",0.005,0.345,0,18,18
"36",0.005,0.355,0,12,12
"37",0.005,0.365,0,10,10
"38",0.005,0.375,0,7,7
"39",0.005,0.385,0,8,8
"40",0.005,0.395,0,7,7
"41",0.005,0.405,0,7,7
"42",0.005,0.415,0,7,7
"43",0.005,0.425,0,12,12
"44",0.005,0.435,0,8,8
"45",0.005,0.445,0,10,10
"46",0.005,0.455,0,8,8
"47",0.005,0.465,0,8,8
"48",0.005,0.475,0,14,14
"49",0.005,0.485,0,15,15
"50",0.005,0.495,0,9,9
"51",0.005,0.505,0,8,8
"52",0.005,0.515,0,5,5
"53",0.005,0.525,0,12,12
"54",0.005,0.535,0,5,5
"55",0.005,0.545,0,5,5
"56",0.005,0.555,0,8,8
"57",0.005,0.565,0,4,4
"58",0.005,0.575,0,5,5
"59",0.005,0.585,0,7,7
"60",0.005,0.595,0,3,3
"61",0.005,0.605,0,7,7
"62",0.005,0.615,0,8,8
"63",0.005,0.625,0,5,5
"64",0.005,0.635,0,8,8
"65",0.005,0.645,0,6,6
"66",0.005,0.655,0,7,7
"67",0.005,0.665,0,3,3
"68",0.005,0.675,0,6,6
"69",0.005,0.685,0,4,4
"70",0.005,0.695,0,6,6
"71",0.005,0.705,0,2,2
"72",0.005,0.715,0,3,3
"73",0.005,0.725,0,6,6
"74",0.005,0.735,0,3,3
"75",0.005,0.745,0,6,6
"76",0.005,0.755,0,4,4
"77",0.005,0.765,0,1,1
"78",0.005,0.775,0,4,4
"79",0.005,0.785,0,2,2
"80",0.005,0.795,0,6,6
"81",0.005,0.805,0,3,3
"82",0.005,0.815,0,5,5
"83",0.005,0.825,0,2,2
"84",0.005,0.835,0,3,3
"85",0.005,0.845,0,2,2
"86",0.005,0.855,0,3,3
"87",0.005,0.865,0,2,2
"88",0.005,0.875,0,4,4
"89",0.005,0.885,0,4,4
"90",0.005,0.895,0,1,1
"91",0.005,0.905,0,2,2
"92",0.005,0.915,0,2,2
"93",0.005,0.925,0,6,6
"94",0.005,0.935,0,1,1
"95",0.005,0.945,0,0,0
"96",0.005,0.955,0,1,1
"97",0.005,0.965,0,5,5
"98",0.005,0.975,0,0,0
"99",0.005,0.985,0,2,2
"100",0.005,0.995,0,2,2
"101",0.015,0.005,14,94,108
"102",0.015,0.015,4,70,74
"103",0.015,0.025,0,78,78
"104",0.015,0.035,0,84,84
"105",0.015,0.045,2,71,73
"106",0.015,0.055,0,66,66
"107",0.015,0.065,0,57,57
"108",0.015,0.075,0,60,60
"109",0.015,0.085,0,63,63
"110",0.015,0.095,0,36,36
"111",0.015,0.105,0,43,43
"112",0.015,0.115,0,35,35
"113",0.015,0.125,0,47,47
"114",0.015,0.135,0,33,33
"115",0.015,0.145,0,41,41
"116",0.015,0.155,0,29,29
"117",0.015,0.165,0,32,32
"118",0.015,0.175,0,31,31
"119",0.015,0.185,0,30,30
"120",0.015,0.195,0,31,31
"121",0.015,0.205,0,27,27
"122",0.015,0.215,0,20,20
"123",0.015,0.225,0,18,18
"124",0.015,0.235,0,21,21
"125",0.015,0.245,0,23,23
"126",0.015,0.255,0,14,14
"127",0.015,0.265,0,26,26
"128",0.015,0.275,0,9,9
"129",0.015,0.285,0,20,20
"130",0.015,0.295,0,19,19
"131",0.015,0.305,0,20,20
"132",0.015,0.315,0,20,20
"133",0.015,0.325,0,16,16
"134",0.015,0.335,0,12,12
"135",0.015,0.345,0,15,15
"136",0.015,0.355,0,20,20
"137",0.015,0.365,0,11,11
