"","X","x1","x2","zi1","zi2","total_count"
"1",1,0.005,0.005,69,125,194
"2",2,0.005,0.015,21,112,133
"3",3,0.005,0.025,10,95,105
"4",4,0.005,0.035,2,84,86
"5",5,0.005,0.045,1,91,92
"6",6,0.005,0.055,0,78,78
"7",7,0.005,0.065,0,87,87
"8",8,0.005,0.075,1,64,65
"9",9,0.005,0.085,0,68,68
"10",10,0.005,0.095,0,64,64
"11",11,0.005,0.105,0,66,66
"12",12,0.005,0.115,0,56,56
"13",13,0.005,0.125,0,63,63
"14",14,0.005,0.135,0,44,44
"15",15,0.005,0.145,0,38,38
"16",16,0.005,0.155,0,39,39
"17",17,0.005,0.165,0,45,45
"18",18,0.005,0.175,0,35,35
"19",19,0.005,0.185,0,27,27
"20",20,0.005,0.195,0,39,39
"21",21,0.005,0.205,0,39,39
"22",22,0.005,0.215,0,47,47
"23",23,0.005,0.225,0,35,35
"24",24,0.005,0.235,0,32,32
"25",25,0.005,0.245,0,34,34
"26",26,0.005,0.255,0,28,28
"27",27,0.005,0.265,0,31,31
"28",28,0.005,0.275,0,24,24
"29",29,0.005,0.285,0,25,25
"30",30,0.005,0.295,0,22,22
"31",31,0.005,0.305,0,20,20
"32",32,0.005,0.315,0,20,20
"33",33,0.005,0.325,0,25,25
"34",34,0.005,0.335,0,19,19
"35",35,0.005,0.345,0,18,18
"36",36,0.005,0.355,0,18,18
"37",37,0.005,0.365,0,25,25
"38",38,0.005,0.375,0,17,17
"39",39,0.005,0.385,0,13,13
"40",40,0.005,0.395,0,17,17
"41",41,0.005,0.405,0,13,13
"42",42,0.005,0.415,0,14,14
"43",43,0.005,0.425,0,12,12
"44",44,0.005,0.435,0,13,13
"45",45,0.005,0.445,0,8,8
"46",46,0.005,0.455,0,16,16
"47",47,0.005,0.465,0,13,13
"48",48,0.005,0.475,0,11,11
"49",49,0.005,0.485,0,12,12
"50",50,0.005,0.495,0,13,13
"51",51,0.005,0.505,0,13,13
"52",52,0.005,0.515,0,13,13
"53",53,0.005,0.525,0,16,16
"54",54,0.005,0.535,0,13,13
"55",55,0.005,0.545,0,12,12
"56",56,0.005,0.555,0,12,12
"57",57,0.005,0.565,0,12,12
"58",58,0.005,0.575,0,11,11
"59",59,0.005,0.585,0,10,10
"60",60,0.005,0.595,0,8,8
"61",61,0.005,0.605,0,12,12
"62",62,0.005,0.615,0,7,7
"63",63,0.005,0.625,0,8,8
"64",64,0.005,0.635,0,11,11
"65",65,0.005,0.645,0,5,5
"66",66,0.005,0.655,0,11,11
"67",67,0.005,0.665,0,10,10
"68",68,0.005,0.675,0,11,11
"69",69,0.005,0.685,0,3,3
"70",70,0.005,0.695,0,8,8
"71",71,0.005,0.705,0,7,7
"72",72,0.005,0.715,0,8,8
"73",73,0.005,0.725,0,9,9
"74",74,0.005,0.735,0,8,8
"75",75,0.005,0.745,0,7,7
"76",76,0.005,0.755,0,11,11
"77",77,0.005,0.765,0,8,8
"78",78,0.005,0.775,0,9,9
"79",79,0.005,0.785,0,7,7
"80",80,0.005,0.795,0,9,9
"81",81,0.005,0.805,0,8,8
"82",82,0.005,0.815,0,2,2
"83",83,0.005,0.825,0,8,8
"84",84,0.005,0.835,0,5,5
"85",85,0.005,0.845,0,8,8
"86",86,0.005,0.855,0,4,4
"87",87,0.005,0.865,0,2,2
"88",88,0.005,0.875,0,5,5
"89",89,0.005,0.885,0,5,5
"90",90,0.005,0.895,0,3,3
"91",91,0.005,0.905,0,7,7
"92",92,0.005,0.915,0,7,7
"93",93,0.005,0.925,0,3,3
"94",94,0.005,0.935,0,6,6
"95",95,0.005,0.945,0,3,3
"96",96,0.005,0.955,0,3,3
"97",97,0.005,0.965,0,4,4
"98",98,0.005,0.975,0,3,3
"99",99,0.005,0.985,0,4,4
"100",100,0.005,0.995,0,2,2
"101",101,0.015,0.005,46,100,146
"102",102,0.015,0.015,27,115,142
"103",103,0.015,0.025,6,127,133
"104",104,0.015,0.035,3,105,108
"105",105,0.015,0.045,0,84,84
"106",106,0.015,0.055,0,80,80
"107",107,0.015,0.065,0,72,72
"108",108,0.015,0.075,0,70,70
"109",109,0.015,0.085,0,56,56
"110",110,0.015,0.095,0,44,44
"111",111,0.015,0.105,0,60,60
"112",112,0.015,0.115,0,47,47
"113",113,0.015,0.125,0,41,41
"114",114,0.015,0.135,0,46,46
"115",115,0.015,0.145,0,34,34
"116",116,0.015,0.155,0,47,47
"117",117,0.015,0.165,0,41,41
"118",118,0.015,0.175,0,34,34
"119",119,0.015,0.185,0,34,34
"120",120,0.015,0.195,0,31,31
"121",121,0.015,0.205,0,29,29
"122",122,0.015,0.215,0,43,43
"123",123,0.015,0.225,0,26,26
"124",124,0.015,0.235,0,23,23
"125",125,0.015,0.245,0,27,27
"126",126,0.015,0.255,0,22,22
"127",127,0.015,0.265,0,19,19
"128",128,0.015,0.275,0,20,20
"129",129,0.015,0.285,0,23,23
"130",130,0.015,0.295,0,20,20
"131",131,0.015,0.305,0,21,21
"132",132,0.015,0.315,0,25,25
"133",133,0.015,0.325,0,23,23
"134",134,0.015,0.335,0,23,23
"135",135,0.015,0.345,0,16,16
"136",136,0.015,0.355,0,19,19
"137",137,0.015,0.365,0,17,17
"138",138,0.015,0.375,0,9,9
"139",139,0.015,0.385,0,15,15
"140",140,0.015,0.395,0,24,24
"141",141,0.015,0.405,0,14,14
"142",142,0.015,0.415,0,21,21
"143",143,0.015,0.425,0,15,15
"144",144,0.015,0.435,0,14,14
"145",145,0.015,0.445,0,17,17
